QA-ID,Reference Articles,RAG-recalled-articles,RAG-recalled-sim-scores
QA-01,[24],"[24, 73, 72, 45, 70, 30, 42, 31]","[0.8843, 0.8014, 0.6501, 0.6001, 0.543, 0.5036, 0.4448, 0.4431]"
QA-02,[24],"[24, 73, 72, 70, 45, 31, 42, 78]","[0.9877, 0.7623, 0.6755, 0.609, 0.4243, 0.395, 0.3885, 0.3879]"
QA-03,[32],"[32, 44, 31, 30, 47, 53, 45, 28]","[1.0, 0.5835, 0.5293, 0.5116, 0.4921, 0.3493, 0.3151, 0.3039]"
QA-04,[93],"[92, 90, 93, 69, 70, 96, 76, 62]","[0.9697, 0.8503, 0.5717, 0.5029, 0.4539, 0.3791, 0.3707, 0.357]"
QA-05,"[64,66]","[65, 66, 21, 67, 42, 64, 39, 138]","[1.0, 0.6781, 0.6214, 0.5134, 0.4425, 0.3242, 0.3224, 0.2924]"
QA-06,[54],"[73, 54, 45, 79, 72, 145, 143, 37]","[0.6756, 0.65, 0.5233, 0.5151, 0.4864, 0.3746, 0.3652, 0.3263]"
QA-07,[146],"[96, 145, 43, 41, 37, 90, 143, 47]","[0.7104, 0.7076, 0.7062, 0.6969, 0.694, 0.5041, 0.4721, 0.437]"
QA-08,[53],"[53, 51, 42, 52, 48, 54, 30, 31]","[1.0, 0.7631, 0.6297, 0.5897, 0.5181, 0.5018, 0.4458, 0.3288]"
QA-09,"[73,74]","[72, 73, 71, 42, 45, 70, 30, 44]","[0.9191, 0.8566, 0.7253, 0.7178, 0.696, 0.6888, 0.6632, 0.5668]"
QA-10,[31],"[30, 112, 31, 27, 28, 53, 47, 44]","[1.0, 0.7846, 0.7546, 0.6408, 0.6086, 0.5641, 0.5534, 0.4721]"
QA-11,[51],"[112, 30, 53, 31, 47, 44, 113, 42]","[0.9607, 0.9301, 0.8887, 0.8344, 0.6262, 0.6115, 0.6091, 0.5179]"
QA-12,"[115,44]","[30, 47, 44, 53, 31, 113, 42, 112]","[0.8287, 0.779, 0.7687, 0.5903, 0.5498, 0.5487, 0.5369, 0.5368]"
QA-13,[55],"[51, 53, 52, 73, 72, 42, 62, 45]","[0.9251, 0.9138, 0.8488, 0.75, 0.6664, 0.5283, 0.518, 0.511]"
QA-14,[55],"[51, 62, 53, 52, 54, 73, 55, 30]","[0.8708, 0.7851, 0.723, 0.6921, 0.4237, 0.3857, 0.3824, 0.3454]"
QA-15,[6],"[45, 46, 58, 148, 72, 73, 78, 11]","[0.6975, 0.6425, 0.5669, 0.5424, 0.5348, 0.5258, 0.4919, 0.416]"
QA-16,[44],"[44, 53, 28, 47, 48, 30, 31, 17]","[1.0, 0.5648, 0.5342, 0.4842, 0.4634, 0.4562, 0.4491, 0.3299]"
QA-17,,"[6, 87, 1, 120, 88, 110, 114, 117]","[0.7272, 0.5195, 0.519, 0.3928, 0.3916, 0.3657, 0.363, 0.3478]"
