QA-ID,question,selected_model,answer,Completeness,Correctness,Fluency,Notes
QA-94,"ما الإجازات الرسمية المقررة للعامل؟
هل يتقاضى عنها أجراً كاملاً؟
عدد أيامها؟",llama,"{
""applicable"": true,
""issue"": ""إجازات رسمية للعامل"",
""rules"": [
""Mada 68: الأجازات الرسمية المقررة للعامل هي: أ- يوم رأس السنة الهجرية يوم واحد. ب- يوم الإسراء والمعراج يوم واحد ج- عيد الفطر السعيد ثلاثة أيام د- وقفة عيد الأضحى المبارك يوم واحد هـ- عيد الأضحى المبارك ثلاث أيام و – المولد النبوي الشريف يوم واحد ز – اليوم الوطني 25 فبراير يوم واحد ح – يوم التحرير 26 فبراير يوم واحد ط- يوم رأس السنة الميلادية يوم واحد"",
""pay_full_salary"" 	],
""analysis"": ""تطبيق القواعد على الوقائع"",
""final_answer"": ""نعم، يتقاضى عنها أجراً كاملاً"",
""referenced_articles"": [
""مادة 68"",
""مادة 71""
]
}",4,3,2.0,السند القانوني مادة 68 اما بقية المواد المرجيعة فليس لها علاقة بالسؤال
QA-11,عملت لدى شركة بموجب عقد غير محدد المدة لمدة 3سنوات ثم اخبرتني الشركة انها ستعمل معي عقد جديد لتغيير بعض البنود فوقعت عقد جديد واستمريت في العمل لمدة 3 سنوات أخرى ثم أنهيت العقد بعد الإخطار . الشركة تقول ان مدة عملي هي 3 سنوات وعلى اساسها ستحسب نهاية الخدمة لان العقد الثاني استمر لمدة 3 سنوات رغم اني اعمل لديها لمدة 6 سنوات؟ فهل كلامها صحيح قانونا؟,gpt4o,"{
    ""applicable"": true,
    ""issue"": ""تحديد ما إذا كانت مدة الخدمة المستمرة للعامل تشمل العقدين المتتاليين لأغراض حساب مكافأة نهاية الخدمة."",
    ""rules"": [
        ""مادة 31: إذا كان عقد العمل محدد المدة واستمر الطرفان فى تنفيذه بعد انقضاء مدته دون تجديد اعتبر مجددا لمدد ماثلة وبالشروط الواردة فيه ما لم يتفق الطرفان على تجديده بشروط أخرى وفى كل الأحوال يجب ألا يمس التجديد مستحقات العامل المكتسبة التى نشأت عن العقد السابق."",
        ""مادة 53: يستحق العامل نصف مكافأة نهاية الخدمة المنصوص عليها فى المادة (51) إذا قام بإنهاء العقد غير محدد المدة من جانبه ، وكانت مدة خدمته لا تقل عن ثلاث سنوات ولم تبلغ خمس سنوات فإذا بلغت مدة خدمته خمس سنوات ولم تبلغ عشر سنوات استحق ثلثى المكافأة ، وإذا بلغت مدة خدمته عشر سنوات يستحق المكافأة كاملة.""
    ],
    ""analysis"": ""العامل عمل لمدة 3 سنوات بموجب عقد غير محدد المدة، ثم وقع عقداً جديداً واستمر في العمل لمدة 3 سنوات أخرى. وفقاً للمادة 31، إذا استمر الطرفان في تنفيذ العقد بعد انقضاء مدته دون تجديد، يعتبر العقد مجدداً بنفس الشروط. في هذه الحالة، تم توقيع عقد جديد بشروط جديدة، مما يعني أن العقد الثاني هو عقد مستقل. ومع ذلك، فإن المادة 53 تشير إلى أن العامل يستحق مكافأة نهاية الخدمة بناءً على مدة الخدمة الكاملة، والتي تبلغ في هذه الحالة 6 سنوات."",
    ""final_answer"": ""كلام الشركة غير صحيح قانوناً. يجب احتساب مكافأة نهاية الخدمة بناءً على مدة الخدمة الكاملة البالغة 6 سنوات."",
    ""referenced_articles"": [
        31,
        53
    ]
}",4,3,4.0,الجواب النهائي صحيح لكن التحليل والمواد غير صحيحه
QA-19,ماذا يقصد بالعامل في قانون العمل الكويتي؟,gpt4o,"{
""applicable"": true,
""issue"": ""تحديد تعريف العامل في قانون العمل الكويتي."",
""rules"": [
    ""مادة 1: العامل: كل ذكر أو أنثى يؤدي عملا يدويا أو ذهنيا لمصلحة صاحب العمل وتحت إدارته وإشرافه مقابل أجر.""
],
""analysis"": ""وفقًا للمادة 1 من قانون العمل الكويتي، يُعرف العامل بأنه كل شخص، سواء كان ذكرًا أو أنثى، يقوم بأداء عمل يدوي أو ذهني لصالح صاحب العمل وتحت إدارته وإشرافه مقابل أجر. هذا التعريف يشمل جميع الأفراد الذين يعملون تحت إشراف وإدارة صاحب العمل ويتلقون أجرًا مقابل عملهم."",
""final_answer"": ""العامل في قانون العمل الكويتي هو كل ذكر أو أنثى يؤدي عملاً يدويًا أو ذهنيًا لمصلحة صاحب العمل وتحت إدارته وإشرافه مقابل أجر."",
""referenced_articles"": [
    ""مادة 1""
]
}",4,4,5.0,يفضل ذكر الاستناء (العمالة المنزلية، الخ) لمزيد من الدقة
QA-27,هل تعد عنصرًا من عناصر الأجر؟,llama,"{
""applicable"": true,
""issue"": ""هل تعد عنصرًا من عناصر الأجر؟"",
""rules"": [
{
""article"": ""مادة 55"",
""paragraph"": ""أ"",
""clause"": ""يقصد بالأجر ما يتقاضاه العامل من أجر أساسي أو ينبغي له أن يتقاضاه لقاء عمله وسببه مضافا إليه كافة العناصر المنصوص عليها في العقد أو لوائح صاحب العمل.""
}
],
""analysis"": ""تعد عناصر الأجر كافة العناصر المنصوص عليها في العقد أو لوائح صاحب العمل."",
""final_answer"": ""نعم"",
""referenced_articles"": [
""مادة 55""
]
}",1,1,1.0,السؤال غير واضح
QA-117,ما عقوبة صاحب العمل الذي لا يقوم بتعليق لوائح الجزاءات التي تقع من العمال ويحدد الجزاء لكل منهم؟,deepseek,"{
    ""applicable"": true,
    ""issue"": ""عقوبة صاحب العمل الذي لا يقوم بتعليق لوائح الجزاءات التي تقع من العمال ويحدد الجزاء لكل منها."",
    ""rules"": [""مادة 35: تنص على وجوب تعليق لائحة الجزاءات في مكان ظاهر بمقر العمل وتحديد المخالفات والجزاءات لكل منها."", ""مادة 140: تنص على عقوبة مخالفة أحكام القانون والقرارات المنفذة له، حيث يتم توجيه إخطار لتلافي المخالفة خلال فترة محددة، وإذا لم تتلافى المخالفة يعاقب المخالف بغرامة لا تقل عن مئة دينار ولا تزيد على مائتي دينار عن كل عامل ممن وقعت بشأنهم المخالفة، مع مضاعفة العقوبة في حالة العود خلال ثلاث سنوات.""],
    ""analysis"": ""بناءً على المواد المسترجعة، فإن مادة 35 تفرض على صاحب العمل واجب تعليق لائحة الجزاءات وتحديد المخالفات والجزاءات لكل منها. عدم القيام بذلك يشكل مخالفة لأحكام هذه المادة. مادة 140 تنظم عقوبة مخالفة أحكام القانون، حيث تنطبق على هذه الحالة لأن عدم تعليق لوائح الجزاءات يعد مخالفة لأحكام المادة 35. وفقًا لمادة 140، يتم توجيه إخطار لصاحب العمل لتلافي المخالفة خلال فترة تحددها الوزارة لا تزيد على ثلاثة أشهر. إذا لم يتلافى صاحب العمل المخالفة خلال هذه الفترة، يعاقب بغرامة لا تقل عن مئة دينار ولا تزيد على مائتي دينار عن كل عامل ممن وقعت بشأنهم المخالفة، مع مضاعفة العقوبة في حالة العود خلال ثلاث سنوات من تاريخ صدور الحكم النهائي."",
    ""final_answer"": ""عقوبة صاحب العمل الذي لا يقوم بتعليق لوائح الجزاءات التي تقع من العمال ويحدد الجزاء لكل منها هي: توجيه إخطار له بتلافي المخالفة خلال فترة تحددها الوزارة لا تزيد على ثلاثة أشهر. إذا لم يتلافى المخالفة خلال هذه الفترة، يعاقب بغرامة لا تقل عن مئة دينار ولا تزيد على مائتي دينار عن كل عامل ممن وقعت بشأنهم المخالفة، مع مضاعفة العقوبة في حالة العود خلال ثلاث سنوات من تاريخ صدور الحكم النهائي."",
    ""referenced_articles"": [""35"", ""140""]
}",4,3,4.0,المواد الصحيحة 35 و 137 وليس 140 (الاخيرة تنطبق على غير الحالة المذكورة في السؤال)
QA-05,كنت موظف في شركة واعمل لمدة ثماني ساعات متواصلة في اليوم دون إعطائي فتره راحة بالمخالفة لنص المادة 65 من القانون رقم 6لسنة 2010 في شأن العمل في القطاع الأهلي من عدم جواز تشغيل العامل اكثر من خمس ساعات متصلة دون أن يعقبها فترة راحة لا تقل عن ساعة ولا تحسب ضمن فترات ساعات العمل وبالتالي هل يحق لي المطالبة بمقابل العمل الإضافي بسبب عملي لمدة 8 ساعات متواصلة دون فترة راحة؟,deepseek,"{
    ""applicable"": true,
    ""issue"": ""حق العامل في المطالبة بمقابل العمل الإضافي بسبب عمله لمدة 8 ساعات متواصلة دون فترة راحة بالمخالفة لنص المادة 65 من قانون العمل الكويتي."",
    ""rules"": [""مادة 65: لا يجوز تشغيل العامل أكثر من خمس ساعات متصلة يومياً دون فترة راحة لا تقل عن ساعة، ولا تحسب فترات الراحة ضمن ساعات العمل. يستثنى القطاع المصرفي والمالي والاستثماري حيث تكون ساعات العمل ثماني ساعات متصلة."", ""مادة 66: يجوز تشغيل العامل فترة إضافية بأمر كتابي من صاحب العمل في حالات محددة (لازمة لمنع وقوع حادث خطر، لإصلاح ما نشأ عنه، تفادى خسارة محققة، مواجهة أعمال تزيد على القدر اليومي). لا يجوز أن تزيد ساعات العمل الإضافي على ساعتين في اليوم الواحد وبحد أقصى 180 ساعة سنوياً. للعامل الحق في الحصول على أجر عن فترة العمل الإضافي يزيد على أجره العادي بمقدار 25%.""],
    ""analysis"": ""الوقائع المذكورة تشير إلى أن العامل كان يعمل لمدة 8 ساعات متواصلة دون فترة راحة، مما يشكل مخالفة لنص المادة 65 التي تحظر تشغيل العامل أكثر من 5 ساعات متصلة دون راحة ساعة. ومع ذلك، فإن المادة 66 التي تنظم العمل الإضافي تشترط لتطبيقها وجود أحد الأسباب المحددة فيها (منع حادث خطر، إصلاح ما نشأ عنه، تفادى خسارة محققة، مواجهة أعمال تزيد على القدر اليومي) ويجب أن يصدر أمر كتابي من صاحب العمل. الوقائع المقدمة لا تذكر وجود أي من هذه الأسباب أو صدور أمر كتابي، كما أن المادة 65 نفسها لا تنص على اعتبار الساعات التي تزيد على 5 ساعات متصلة دون راحة كعمل إضافي يستحق المقابل الإضافي المنصوص عليه في المادة 66. المخالفة هنا هي مخالفة لتنظيم ساعات العمل وفترات الراحة وليس بالضرورة عمل إضافي يستحق المقابل الإضافي."",
    ""final_answer"": ""لا يحق للعامل المطالبة بمقابل العمل الإضافي المنصوص عليه في المادة 66 بسبب عمله 8 ساعات متواصلة دون فترة راحة. المخالفة هي مخالفة لتنظيم ساعات العمل وفترات الراحة وفق المادة 65، وليست عملاً إضافياً بالشروط والأسباب المنصوص عليها في المادة 66."",
    ""referenced_articles"": [""65"", ""66""]
}",4,5,5.0,
QA-97,هل يحق لصاحب العمل إرغام العامل للتنازل عن حقه في الإجازة السنوية؟,qwen,"{
""applicable"": true,
""issue"": ""حق صاحب العمل في إجبار العامل على التنازل عن الإجازة السنوية"",
""rules"": [""مادة 73: مع عدم الإخلال بأحكام المادة 72 لا يجوز للعامل أن يتنازل عن أجازته السنوية بعوض أو بغير عوض ولصاحب العمل أن يسترد ما أداه له من أجر عنها إذا ثبت اشتغاله خلالها لدى صاحب عمل آخر.""],
""analysis"": ""تنص المادة 73 صراحةً على أنه \""لا يجوز للعامل أن يتنازل عن أجازته السنوية بعوض أو بغير عوض\""، وهذا النص يحظر التنازل عن الإجازة السنوية مطلقاً، سواء كان التنازل طوعياً أو مُفْرَضاً. وبما أن الحظر وارد بصيغة مطلقة (\""لا يجوز\"")، فإنه يشمل أي شكل من أشكال التنازل، بما في ذلك التنازل المفروض أو المُستدعى من قِبل صاحب العمل. وبالتالي، فإن إرغام العامل على التنازل عن إجازته السنوية يُعد عملاً مخالفاً لأحكام المادة 73، لأن التنازل غير جائز أصلاً، ولا يُمكن إجبار العامل عليه."",
""final_answer"": ""لا يحق لصاحب العمل إرغام العامل على التنازل عن حقه في الإجازة السنوية، وذلك لأن المادة 73 تنص صراحةً على أنه لا يجوز للعامل التنازل عن إجازته السنوية بعوض أو بغير عوض، مما يحظر أي شكل من أشكال التنازل، بما في ذلك التنازل المفروض."",
""referenced_articles"": [""73""]
}",4,4,5.0,نص المادة صحيح لكن رقم المادة 74 
QA-42,هل يجوز تشغيل الأحداث؟ ما السن المسموح به؟,llama,"{
""applicable"": true,
""issue"": ""تشغيل الأحداث"",
""rules"": [
{
""article"": ""مادة 20"",
""text"": ""يُجوز بإذن من الوزارة تشغيل الأحداث ممن بلغوا الخامسة عشرة ولم يبلغوا الثامنة عشرة""
}
],
""analysis"": ""تُسمح بإذن من الوزارة تشغيل الأحداث ممن بلغوا الخامسة عشرة ولم يبلغوا الثامنة عشرة"",
""final_answer"": ""نعم، يجوز تشغيل الأحداث"",
""referenced_articles"": [
""مادة 20""
]
}",2,4,2.0,
QA-01,انا امرأة حامل ولدت أثناء الاجازة السنوية وعند انتهاء عقد عملي قمت بمطالبة جهة العمل بمقابل مادي عن إجازة الوضع التي لم اخذها لكن جهة العمل رفضت بحجة اني لم أطالب بها قبل انتهاء عقد العمل وبالتالي أُعتبر تنازلت عنها! ممكن أن تعطيني الرأي القانوني؟,gpt4o,"{
""applicable"": true,
""issue"": ""هل يحق للمرأة العاملة الحصول على مقابل مادي عن إجازة الوضع التي لم تأخذها بسبب انتهاء عقد العمل؟"",
""rules"": [
    ""مادة 24: تستحق المرأة العاملة الحامل أجازة مدفوعة الأجر لا تحسب من أجازتها الأخرى لمدة سبعين يوما للوضع بشرط أن يتم الوضع خلالها."",
    ""مادة 72: مع عدم الإخلال بأحكام المادتين 70 و 71 للعامل الحق في الحصول علي مقابل نقدي لأيام أجازاته السنوية المجتمعه في حالة انتهاء عقده.""
],
""analysis"": ""وفقًا للمادة 24، تستحق المرأة العاملة الحامل إجازة مدفوعة الأجر لمدة سبعين يومًا للوضع بشرط أن يتم الوضع خلالها. لم تذكر المادة أي شرط يتعلق بضرورة المطالبة بالإجازة قبل انتهاء العقد. كما أن المادة 72 تمنح العامل الحق في الحصول على مقابل نقدي لأيام إجازاته السنوية المجتمعة في حالة انتهاء عقده، ولكنها لا تتطرق إلى إجازة الوضع. بناءً على ذلك، لا يوجد في النصوص المسترجعة ما يشير إلى أن عدم المطالبة بإجازة الوضع قبل انتهاء العقد يعتبر تنازلًا عنها."",
""final_answer"": ""يحق للمرأة العاملة الحصول على إجازة الوضع مدفوعة الأجر إذا تم الوضع خلالها، ولا يوجد في النصوص المسترجعة ما يشير إلى أن عدم المطالبة بها قبل انتهاء العقد يعتبر تنازلًا عنها."",
""referenced_articles"": [
    ""مادة 24"",
    ""مادة 72""
]
}",3,3,3.0,الموضوع عن استحقاق مقابل الاجازة وليس الاجازة نفسها
QA-92,متى تتقادم دعوى التعويض ضد العامل عن إخلاله بالتزامه بعدم المنافسة؟,gpt4o,"{
""applicable"": false,
""issue"": """",
""rules"": [],
""analysis"": """",
""final_answer"": """",
""referenced_articles"": []
}",1,1,1.0,
