No.,Question,Answer,Category
1,ما أهمية قانون العمل بالنسبة لأفراد المجتمع؟,تأتي أهمية قانون العمل من كونه ينظم علاقات قطاع عريض من أفراد المجتمع، وتمثل شريحة كبيرة، وهم السواد الأعظم من العاملين من أفراده هم (العمال)، وحياة هؤلاء مرتبطة بعملهم الذي يتوقف عليه مستوى معيشتهم وإنسانيتهم وصحتهم وكرامتهم، وقانون العمل يشمل الأجور وساعات العمل وأيام الراحة والإجازات السنوية والمرضية وإصابات العمل وغير ذلك. وقانون العمل أصبح له أثر واضح في الحياة الاجتماعية والسياسية والاقتصادية، وتزداد أهميته في الحياة العملية، ويكسب كل يوم أهمية عظيمة، لأنه قانون يعكس التغير الحادث في المجتمع، وهو قانون واقعي متطور، تختلف قواعده باختلاف ظروف العمل والبيئة والأشخاص العاملين، لتحقيق الغاية الصالح العام، فهو ينظم عمل الأحداث والنساء والأجانب، ويخصهم بقواعد خاصة، ويستهدف قانون العمل أساساً حماية العمال في مواجهة أصحاب العمل، لذلك جاءت أغلب القواعد آمرة لا يجوز للأفراد الاتفاق على ما يخالفها.,تعريف وأحكام عامة في قانون العمل الكويتي
2,هل تسري أحكام قانون العمل على جميع أفراد المجتمع؟,لا تسري أحكام قانون العمل إلا على العاملين في القطاع الأهلي، وعقد العمل البحري والقطاع النفطي. ولا يشمل العاملين بالقطاع الحكومي، الذين يعينون بالجهاز الإداري في الدولة حيث يخضعون لقانون خاص (قانون الخدمة المدنية).,تعريف وأحكام عامة في قانون العمل الكويتي
3,ماذا يقصد بالعامل في قانون العمل الكويتي؟,العامل: كل ذكر أو أنثى يبلغ سن (18) سنة، ويؤدي عملاً يدوياً أو ذهنياً لمصلحة صاحب العمل وتحت إدارته وإشرافه، مقابل أجر يلتزم به صاحب العمل بدفعه للعامل سواء كان شهرياً أو يومياً.,تعريف وأحكام عامة في قانون العمل الكويتي
4,ما المقصود بصاحب العمل؟,المقصود بصاحب العمل كل شخص طبيعي أو اعتباري يستخدم عاملاً مقابل أجر.,تعريف وأحكام عامة في قانون العمل الكويتي
5,ماذا يقصد بالمنظمة في قانون العمل؟,المنظمة: هي تنظيم يجمع مجموعة من العمال أو أصحاب الأعمال، تتشابه أو ترتبط أعمالهم أو مهنتهم أو وظائفهم، ويرعى مصالحهم، ويدافع عن حقوقهم ويمثلهم في كافة الأمور المتعلقة بشؤونهم.,تعريف وأحكام عامة في قانون العمل الكويتي
6,هل يجوز مخالفة أحكام قانون العمل؟,إن أحكام قانون العمل أحكام آمرة متعلقة بالنظام العام ومخالفتها يترتب عليه آثار أهمها: 1- بطلان كل شرط مخالف لأحكام قانون العمل ما لم يكن أكثر فائدة ومزية للعامل. 2- تقرير جزاء جنائي على مخالفة أي حكم من أحكام قانون العمل والقرارات الصادرة تنفيذاً له حسب نوع المخالفة.,تعريف وأحكام عامة في قانون العمل الكويتي
7,ما المقصود بالأجر الذي يتقاضاه العامل؟,يقصد بالأجر كل ما يتقاضاه العامل من أجر أساسي يضاف إليه كل ما يتقاضاه عادة من علاوات أو مكافآت أو عمولة أو منح أو أية مزايا نقدية أو عينية دورية.,ظروف العمل والأجر
8,ما مواعيد دفع رواتب العاملين؟ وهل يجب تحويلها إلى البنوك؟,قانون العمل الكويتي الجديد ألزم أصحاب الأعمال بدفع رواتب العاملين عن طريق حساباتهم في البنوك المحلية، وذلك لضمان حقوق العامل، ومساعدته على متابعة حقوقه المالية، والقضاء على المنشآت الوهمية التي تتلاعب بالالتزامات المالية للعمالة الوافدة. كما ألزم القانون أصحاب الأعمال بدفع رواتب العمال (الأجور) مرة على الأقل كل شهر، ولا يجوز تأخير دفع الأجور عن اليوم السابع من تاريخ الاستحقاق، وبالعملة المتداولة.,ظروف العمل والأجر
9,متى تكون السيارة المقدمة للعامل أو بدل الانتقال أو بدل الاحتفال أو تذكرة السفر عنصرًا من عناصر الأجر وليس ميزة؟,فإذا قرر للعامل بدل انتقال كبير، وليس عوضًا عن نفقات تكبدها في سبيل تنفيذ الأعمال وإنجازها، فإن ذلك البدل يعد من عناصر الأجر، فإذا كانت السيارة المقدمة للعامل أو بدل الانتقال غير قاصر على التنقلات التي يتطلبها أداء العمل بل تمتد إلى التنقلات الشخصية التي لا صلة لها بالعمل، فيعد هذا الاستعمال الأخير فائدة يتحصل عليها العامل كبيرة يتمتع بها، فيضفي عليها وصف الأجر وجزءًا منه، وكذلك إذا التزم صاحب العمل بقيمة إيجار مسكن للعامل وعائلته عن عقد العمل من غير قصر ذلك إلى موطنه سنويًا فإن تلك القيمة تضاف أيضًا إلى أجر العامل.,ظروف العمل والأجر
10,ماذا يقصد بالمكافأة التشجيعية التي يمنحها صاحب العمل للعامل؟,المكافأة التشجيعية التي يمنحها صاحب العمل للعامل هي عبارة عن مبلغ من المال يدفع للعامل، مقابل ما قام به من زيادة جهد، ترتب عليها تقليل النفقات (للمنشأة)، أو زيادة في الأرباح، أو تفادي الخسائر أو انتظام في سير العمل (بالمنشأة)، وهي تعد عنصرًا من عناصر الأجر.,ظروف العمل والأجر
